CÓDIGO,CST 00,CST 10,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 60,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,OBSERVAÇÃO,col_16
,SIM,SIM,,SIM,,SIM,SIM,,SIM,,SIM,,,SEM PREENCHIMENTO DO cBenef,,
SEM cBenef,,,,,,,,,,,,,,ITEM SEM cBenef E UF EXIGE cBenef PARA O CST,Informar apenas com letras maiúsculas.,
RJ801144,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801144|Convênio ICMS 101 de 1997 - Isenção|01042019|,,
RJ803144,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803144|Convênio ICMS 101 de 1997 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801145,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801145|Convênio ICMS 103 de 2011 - Isenção|01042019|,,
RJ801146,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801146|Convênio ICMS 104 de 1989 - Isenção|01042019|,,
RJ801147,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801147|Convênio ICMS 105 de 1995 - Isenção|01042019|,,
RJ801148,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801148|Convênio ICMS 105 de 2003 - Isenção|01042019|,,
RJ805149,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805149|Convênio ICMS 106 de 1996 - Crédito Presumido|01042019|,,
RJ801150,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801150|Convênio ICMS 106 de 2010 - Isenção|01042019|,,
RJ801151,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801151|Convênio ICMS 107 de 1995 - Isenção|01042019|,,
RJ818152,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818152|Convênio ICMS 110 de 2007 - Diferimento|01042019|,,
RJ819152,,,,SIM,,,,,,,,2019-08-01 00:00:00,2019-08-31 00:00:00,RJ819152|CONVÊNIO ICMS 110 de 2007 - não incidência|01082019|,,
RJ802153,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802153|Convênio ICMS 112 de 1989 - Redução de Base de Cálculo|01042019|,,
RJ801154,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801154|Convênio ICMS 112 de 1998 - Isenção|01042019|,,
RJ802155,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802155|Convênio ICMS 113 de 2006 - Redução de Base de Cálculo|01042019|,,
RJ803156,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803156|Convênio ICMS 114 de 2009 - Inexigibilidade de estorno de crédito|01042019|,,
RJ802156,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802156|Convênio ICMS 114 de 2009 - Redução de Base de Cálculo|01042019|,,
RJ801157,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801157|Convênio ICMS 116 de 1998 - Isenção|01042019|,,
RJ803157,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803157|Convênio ICMS 116 de 1998 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801158,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801158|Convênio ICMS 120 de 2002 - Isenção|01042019|,,
RJ801159,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801159|Convênio ICMS 122 de 2003 - Isenção|01042019|,,
RJ803159,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803159|Convênio ICMS 122 de 2003 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801160,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801160|Convênio ICMS 123 de 1992 - Isenção|01042019|,,
RJ801161,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801161|Convênio ICMS 123 de 1997 - Isenção|01042019|,,
RJ801162,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801162|Convênio ICMS 125 de 2001 - Isenção|01042019|,,
RJ801163,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801163|Convênio ICMS 126 de 2010 - Isenção|01042019|,,
RJ803163,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803163|Convênio ICMS 126 de 2010 - Inexigibilidade de estorno de crédito|01042019|,,
RJ803164,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803164|Convênio ICMS 128 de 1994 - Inexigibilidade de estorno de crédito|01042019|,,
RJ802164,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802164|Convênio ICMS 128 de 1994 - Redução de Base de Cálculo|01042019|,,
RJ801165,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801165|Convênio ICMS 129 de 2006 - Isenção|01042019|,,
RJ801166,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801166|Convênio ICMS 129 de 2012 - Isenção|01042019|,,
RJ820167,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ820167|Convênio ICMS 130 de 1994 - Redução de alíquota|01042019|,,
RJ801167,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801167|Convênio ICMS 130 de 1994 - Isenção|01042019|,,
RJ803167,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803167|Convênio ICMS 130 de 1994 - Inexigibilidade de estorno de crédito|01042019|,,
RJ821168,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821168|Convênio ICMS 130 de 2007 - Transferência de saldo credor acumulado|01042019|,,
RJ801168,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801168|Convênio ICMS 130 de 2007 - Isenção|01042019|,,
RJ802168,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802168|Convênio ICMS 130 de 2007 - Redução de Base de Cálculo|01042019|,,
RJ802169,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802169|Convênio ICMS 132 de 1993 - Redução de Base de Cálculo|01042019|,,
RJ801170,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801170|Convênio ICMS 132 de 2004 - Isenção|01042019|,,
RJ803171,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803171|Convênio ICMS 133 de 2002 - Inexigibilidade de estorno de crédito|01042019|,,
RJ802171,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802171|Convênio ICMS 133 de 2002 - Redução de Base de Cálculo|01042019|,,
RJ823172,,,,,,,,,,,,2019-04-01 00:00:00,,RJ823172|Convênio ICMS 136 de 1993 - Suspensão|01042019|,,
RJ801173,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801173|Convênio ICMS 136 de 1994 - Isenção|01042019|,,
RJ801174,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801174|Convênio ICMS 138 de 2005 - Isenção|01042019|,,
RJ801175,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801175|Convênio ICMS 140 de 2001 - Isenção|01042019|,,
RJ803175,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803175|Convênio ICMS 140 de 2001 - Inexigibilidade de estorno de crédito|01042019|,,
RJ803176,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803176|Convênio ICMS 141 de 2007 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801176,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801176|Convênio ICMS 141 de 2007 - Isenção|01042019|,,
RJ805177,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805177|Convênio ICMS 141 de 2011 - Crédito Presumido|01042019|,,
RJ801178,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801178|Convênio ICMS 142 de 1992 - Isenção|01042019|,,
RJ801179,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801179|Convênio ICMS 144 de 2006 - Isenção|01042019|,,
RJ803180,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803180|Convênio ICMS 147 de 2007 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801180,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801180|Convênio ICMS 147 de 2007 - Isenção|01042019|,,
RJ801181,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801181|Convênio ICMS 150 de 2013 - Isenção|01042019|,,
RJ802182,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802182|Convênio ICMS 153 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ801183,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801183|Convênio ICMS 158 de 1994 - Isenção|01042019|,,
RJ801184,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801184|Convênio ICMS 162 de 1994 - Isenção|01042019|,,
RJ801185,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801185|Convênio ICMS 165 de 1992 - Isenção|01042019|,,
RJ802186,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802186|Convênio ICMS  45 de 2014 - Redução de Base de Cálculo|01042019|,,
RJ818187,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818187|Decreto 14.236 de 1989 - Diferimento|01042019|,,
RJ818188,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818188|Decreto 16.358 de 1991 - Diferimento|01042019|,,
RJ808189,,,,,,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ808189|Decreto 21.550 de 1995 - Ampliação de prazo de pagamento|01042019|01042019,,
RJ805189,,,,,,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ805189|Decreto 21.550 de 1995 - Crédito Presumido|01042019|01042019,,
RJ818190,,,,,,,,SIM,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ818190|Decreto 22.266 de 1996 - Diferimento|01042019|01042019,,
RJ818191,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818191|Decreto 23.082 de 1997 - Diferimento|01042019|,,
RJ805192,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805192|Decreto 25.404 de 1999 - Crédito Presumido|01042019|,,
RJ818193,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818193|Decreto 25.665 de 1999 - Diferimento|01042019|,,
RJ808193,,,,,,,,,,,,2019-04-01 00:00:00,,RJ808193|Decreto 25.665 de 1999 - Ampliação de prazo de pagamento|01042019|,,
RJ805194,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805194|Decreto 25.666 de 1999 - Crédito Presumido|01042019|,,
RJ802195,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802195|Decreto 26.004 de 2000 - Redução de Base de Cálculo|01042019|,,
RJ802196,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802196|Decreto 26.116 de 2000 - Redução de Base de Cálculo|01042019|,,
RJ802197,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802197|Decreto 26.140 de 2000 - Redução de Base de Cálculo|01042019|,,
RJ801198,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801198|Decreto 26.260 de 2000 - Isenção|01042019|,,
RJ808199,,,,,,,,,,,,2019-04-01 00:00:00,,RJ808199|Decreto 26.274 de 2000 - Ampliação de prazo de pagamento|01042019|,,
RJ818199,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818199|Decreto 26.274 de 2000 - Diferimento|01042019|,,
RJ805200,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805200|Decreto 26.788 de 2000 - Crédito Presumido|01042019|,,
RJ821201,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821201|Decreto 27.091 de 2000 - Transferência de saldo credor acumulado|01042019|,,
RJ801202,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801202|Decreto 27.159 de 2000 - Isenção|01042019|,,
RJ802203,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802203|Decreto 27.308 de 2000 - Redução de Base de Cálculo|01042019|,,
RJ801204,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801204|Decreto 27.815 de 2001 - Isenção|01042019|,,
RJ808205,,,,,,,,,,,,2019-04-01 00:00:00,,RJ808205|Decreto 27.857 de 2001 - Ampliação de prazo de pagamento|01042019|,,
RJ802206,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802206|Decreto 28.494 de 2001 - Redução de Base de Cálculo|01042019|,,
RJ802207,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,2019-04-30 00:00:00,RJ802207|Decreto 28.940 de 2001 - Redução de Base de Cálculo|01042019|30042019,,
RJ805208,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805208|Decreto 29.042 de 2001 - Crédito Presumido|01042019|,,
RJ803208,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803208|Decreto 29.042 de 2001 - Inexigibilidade de estorno de crédito|01042019|,,
RJ802209,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802209|Decreto 29.366 de 2001 - Redução de Base de Cálculo|01042019|,,
RJ802210,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802210|Decreto 29.722 de 2001 - Redução de Base de Cálculo|01042019|,,
RJ802211,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802211|Decreto 29.882 de 2001 - Redução de Base de Cálculo|01042019|,,
RJ818211,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818211|Decreto 29.882 de 2001 - Diferimento|01042019|,,
RJ818212,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818212|Decreto 30.853 de 2002 - Diferimento|01042019|,,
RJ805212,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805212|Decreto 30.853 de 2002 - Crédito Presumido|01042019|,,
RJ818213,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818213|Decreto 31.175 de 2002 - Diferimento|01042019|,,
RJ808214,,,,,,,,,,,,2019-04-01 00:00:00,,RJ808214|Decreto 32.701 de 2003 - Ampliação de prazo de pagamento|01042019|,,
RJ818215,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818215|Decreto 33.934 de 2003 - Diferimento|01042019|,,
RJ801215,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801215|Decreto 33.934 de 2003 - Isenção|01042019|,,
RJ805216,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805216|Convênio 23 de 1990 - Crédito Presumido|01042019|,,
RJ818217,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818217|Decreto 34.169 de 2003 - Diferimento|01042019|,,
RJ818218,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818218|Decreto 34.170 de 2003 - Diferimento|01042019|,,
RJ818219,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818219|Decreto 34.171 de 2003 - Diferimento|01042019|,,
RJ801220,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801220|Decreto 35.220 de 2004 - Isenção|01042019|,,
RJ818220,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818220|Decreto 35.220 de 2004 - Diferimento|01042019|,,
RJ802221,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802221|Decreto 35.418 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ818221,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818221|Decreto 35.418 de 2004 - Diferimento|01042019|,,
RJ821221,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821221|Decreto 35.418 de 2004 - Transferência de saldo credor acumulado|01042019|,,
RJ805222,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805222|Decreto 35.419 de 2004 - Crédito Presumido|01042019|,,
RJ818223,,,,,,,,SIM,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ818223|Decreto 35.985 de 2004 - Diferimento|01042019|01042019,,
RJ805224,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805224|Decreto 36.111 de 2004 - Crédito Presumido|01042019|,,
RJ818225,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818225|Decreto 36.279 de 2004 - Diferimento|01042019|,,
RJ803226,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803226|Decreto 36.297 de 2004 - Inexigibilidade de estorno de crédito|01042019|,,
RJ802226,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802226|Decreto 36.297 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ821227,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821227|Decreto 36.324 de 2004 - Transferência de saldo credor acumulado|01042019|,,
RJ818228,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818228|Decreto 36.376 de 2004 - Diferimento|01042019|,,
RJ805228,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805228|Decreto 36.376 de 2004 - Crédito Presumido|01042019|,,
RJ803229,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803229|Decreto 36.448 de 2004 - Inexigibilidade de estorno de crédito|01042019|,,
RJ818229,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818229|Decreto 36.448 de 2004 - Diferimento|01042019|,,
RJ802229,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802229|Decreto 36.448 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ818230,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818230|Decreto 36.449 de 2004 - Diferimento|01042019|,,
RJ805230,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805230|Decreto 36.449 de 2004 - Crédito Presumido|01042019|,,
RJ803231,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803231|Decreto 36.450 de 2004 - Inexigibilidade de estorno de crédito|01042019|,,
RJ821231,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821231|Decreto 36.450 de 2004 - Transferência de saldo credor acumulado|01042019|,,
RJ802231,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802231|Decreto 36.450 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ805231,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805231|Decreto 36.450 de 2004 - Crédito Presumido|01042019|,,
RJ818231,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818231|Decreto 36.450 de 2004 - Diferimento|01042019|,,
RJ802232,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802232|Decreto 36.451 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ818232,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818232|Decreto 36.451 de 2004 - Diferimento|01042019|,,
RJ803232,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803232|Decreto 36.451 de 2004 - Inexigibilidade de estorno de crédito|01042019|,,
RJ805233,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805233|Decreto 36.452 de 2004 - Crédito Presumido|01042019|,,
RJ818234,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818234|Decreto 36.453 de 2004 - Diferimento|01042019|,,
RJ802234,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802234|Decreto 36.453 de 2004 - Redução de Base de Cálculo|01042019|,,
RJ818235,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818235|Decreto 36.458 de 2004 - Diferimento|01042019|,,
RJ818236,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818236|Decreto 36.460 de 2004 - Diferimento|01042019|,,
RJ818237,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818237|Decreto 36.461 de 2004 - Diferimento|01042019|,,
RJ818238,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818238|Decreto 36.463 de 2004 - Diferimento|01042019|,,
RJ818239,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818239|Decreto 36.468 de 2004 - Diferimento|01042019|,,
RJ818240,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818240|Decreto 36.474 de 2004 - Diferimento|01042019|,,
RJ818241,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818241|Decreto 36.478 de 2004 - Diferimento|01042019|,,
RJ818242,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818242|Decreto 36.489 de 2004 - Diferimento|01042019|,,
RJ818243,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818243|Decreto 37.149 de 2005 - Diferimento|01042019|,,
RJ818244,,,,,,,,SIM,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ818244|Decreto 37.152 de 2005 - Diferimento|01042019|01042019,,
RJ818245,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818245|Decreto 37.154 de 2005 - Diferimento|01042019|,,
RJ818246,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818246|Decreto 37.159 de 2005 - Diferimento|01042019|,,
RJ818247,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818247|Decreto 37.168 de 2005 - Diferimento|01042019|,,
RJ818248,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818248|Decreto 37.170 de 2005 - Diferimento|01042019|,,
RJ818249,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818249|Decreto 37.172 de 2005 - Diferimento|01042019|,,
RJ818250,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818250|Decreto 37.177 de 2005 - Diferimento|01042019|,,
RJ818251,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818251|Decreto 37.179 de 2005 - Diferimento|01042019|,,
RJ818252,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818252|Decreto 37.198 de 2005 - Diferimento|01042019|,,
RJ818253,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818253|Decreto 37.207 de 2005 - Diferimento|01042019|,,
RJ818254,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818254|Decreto 37.210 de 2005 - Diferimento|01042019|,,
RJ818255,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818255|Decreto 37.256 de 2005 - Diferimento|01042019|,,
RJ818256,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818256|Decreto 37.257 de 2005 - Diferimento|01042019|,,
RJ818257,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818257|Decreto 37.260 de 2005 - Diferimento|01042019|,,
RJ818258,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818258|Decreto 37.261 de 2005 - Diferimento|01042019|,,
RJ818259,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818259|Decreto 37.263 de 2005 - Diferimento|01042019|,,
RJ818260,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818260|Decreto 37.590 de 2005 - Diferimento|01042019|,,
RJ818261,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818261|Decreto 37.598 de 2005 - Diferimento|01042019|,,
RJ818262,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818262|Decreto 37.599 de 2005 - Diferimento|01042019|,,
RJ818263,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818263|Decreto 37.600 de 2005 - Diferimento|01042019|,,
RJ818264,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818264|Decreto 37.888 de 2005 - Diferimento|01042019|,,
RJ818265,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818265|Decreto 38.231 de 2005 - Diferimento|01042019|,,
RJ802266,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802266|Decreto 38.938 de 2006 - Redução de Base de Cálculo|01042019|,,
RJ805266,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805266|Decreto 38.938 de 2006 - Crédito Presumido|01042019|,,
RJ818266,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818266|Decreto 38.938 de 2006 - Diferimento|01042019|,,
RJ801266,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801266|Decreto 38.938 de 2006 - Isenção|01042019|,,
RJ818267,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818267|Decreto 39.116 de 2006 - Diferimento|01042019|,,
RJ803268,,,,,,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ803268|Decreto 39.565 de 2006 - Inexigibilidade de estorno de crédito|01042019|01042019,,
RJ803269,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803269|Decreto 39.566 de 2006 - Inexigibilidade de estorno de crédito|01042019|,,
RJ818270,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818270|Decreto 39.784 de 2006 - Diferimento|01042019|,,
RJ805270,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805270|Decreto 39.784 de 2006 - Crédito Presumido|01042019|,,
RJ801271,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801271|Decreto 40.435 de 2006 - Isenção|01042019|,,
RJ818271,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818271|Decreto 40.435 de 2006 - Diferimento|01042019|,,
RJ803272,,,,,,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ803272|Decreto 40.442 de 2006 - Inexigibilidade de estorno de crédito|01042019|01042019,,
RJ821272,,,,,,,,,,,SIM,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ821272|Decreto 40.442 de 2006 - Transferência de saldo credor acumulado|01042019|01042019,,
RJ802272,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ802272|Decreto 40.442 de 2006 - Redução de Base de Cálculo|01042019|01042019,,
RJ801272,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ801272|Decreto 40.442 de 2006 - Isenção|01042019|01042019,,
RJ820272,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ820272|Decreto 40.442 de 2006 - Redução de alíquota|01042019|01042019,,
RJ818272,,,,,,,,SIM,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ818272|Decreto 40.442 de 2006 - Diferimento|01042019|01042019,,
RJ818273,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818273|Decreto 40.456 de 2006 - Diferimento|01042019|,,
RJ805274,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805274|Decreto 40.478 de 2006 - Crédito Presumido|01042019|,,
RJ818274,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818274|Decreto 40.478 de 2006 - Diferimento|01042019|,,
RJ808275,,,,,,,,,,,,2019-04-01 00:00:00,2019-04-01 00:00:00,RJ808275|Decreto 40.562 de 2007 - Ampliação de prazo de pagamento|01042019|01042019,,
RJ818276,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818276|Decreto 41.244 de 2008 - Diferimento|01042019|,,
RJ802277,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802277|Decreto 41.483 de 2008 - Redução de Base de Cálculo|01042019|,,
RJ821277,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821277|Decreto 41.483 de 2008 - Transferência de saldo credor acumulado|01042019|,,
RJ822277,,,,,,,,,,,,2019-04-01 00:00:00,,RJ822277|Decreto 41.483 de 2008 - Tributação sobre saída|01042019|,,
RJ805277,,,,,,,,,,,,2019-04-01 00:00:00,,RJ805277|Decreto 41.483 de 2008 - Crédito Presumido|01042019|,,
RJ818277,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818277|Decreto 41.483 de 2008 - Diferimento|01042019|,,
RJ818278,,,,,,,,SIM,,,,2019-04-01 00:00:00,,RJ818278|Decreto 41.557 de 2008 - Diferimento|01042019|,,
RJ802278,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802278|Decreto 41.557 de 2008 - Redução de Base de Cálculo|01042019|,,
